variable,importance,label
BASELINE_AGE,0.0445185516264274,Age at Baseline
RAEDUC,0.01833923591610332,Education
RACE_ETH3,0.011369213193952621,Race/Ethnicity
LN_WEALTH,0.0074777974502099045,Log Wealth
CHRONIC_N,0.00663070486450245,Chronic Conditions
EMP_STATUS,0.0057856550161523865,Employment Status
R_DEPRES,0.003103068870780912,Depression
HAS_INS,0.0012122706865602018,Insurance Status
RAGENDER,6.557750392219408e-4,Sex
BMI_CV_W3,5.674388835376987e-4,BMI Variability (CV%)
SMOKESTATUS,4.930560771448822e-4,Smoking Status
