**Characteristic**,"**Overall**  
N = 6,492","**Low variability**  
N = 4,381","**Medium variability**  
N = 1,311","**High variability**  
N = 800",**p-value**
__Age at baseline (years)__,59.5 (4.5),59.7 (4.4),59.3 (4.7),58.9 (4.5),<0.001
__BMI at baseline (kg/m²)__,27.2 (4.9),26.9 (4.7),27.7 (4.9),28.3 (6.0),<0.001
__Log household wealth__,11.98 (3.82),12.20 (3.51),11.64 (4.35),11.32 (4.35),<0.001
__Log total income__,10.62 (1.28),10.68 (1.23),10.55 (1.28),10.38 (1.50),<0.001
__Number of chronic conditions__,0.80 (0.91),0.73 (0.86),0.88 (0.94),1.02 (1.03),<0.001
__Gender__,NA,NA,NA,NA,<0.001
Male,"2,861 (44%)","2,105 (48%)",509 (39%),247 (31%),NA
Female,"3,631 (56%)","2,276 (52%)",802 (61%),553 (69%),NA
__Race/Ethnicity__,NA,NA,NA,NA,0.2
Non-Hispanic White,"5,321 (82%)","3,616 (83%)","1,072 (82%)",633 (79%),NA
Non-Hispanic Black,652 (10%),422 (9.6%),139 (11%),91 (11%),NA
Hispanic or Other,517 (8.0%),343 (7.8%),99 (7.6%),75 (9.4%),NA
__Education__,NA,NA,NA,NA,0.006
Less than high school,"1,004 (15%)",627 (14%),226 (17%),151 (19%),NA
GED,300 (4.6%),206 (4.7%),51 (3.9%),43 (5.4%),NA
High school graduate,"2,258 (35%)","1,533 (35%)",458 (35%),267 (33%),NA
College or above,"2,930 (45%)","2,015 (46%)",576 (44%),339 (42%),NA
__Health insurance__,NA,NA,NA,NA,<0.001
No insurance,556 (8.6%),332 (7.6%),117 (9.0%),107 (13%),NA
Has insurance,"5,919 (91%)","4,038 (92%)","1,189 (91%)",692 (87%),NA
__Employment status__,NA,NA,NA,NA,<0.001
Employed (FT/PT),"3,474 (54%)","2,373 (54%)",694 (53%),407 (51%),NA
Unemployed/Not in labor force,674 (10%),429 (9.8%),155 (12%),90 (11%),NA
Retired,"2,185 (34%)","1,506 (34%)",416 (32%),263 (33%),NA
Disabled,159 (2.4%),73 (1.7%),46 (3.5%),40 (5.0%),NA
__Smoking status__,NA,NA,NA,NA,0.040
Never smoker,"2,494 (39%)","1,727 (40%)",486 (38%),281 (36%),NA
Ever/Current smoker,"3,917 (61%)","2,601 (60%)",807 (62%),509 (64%),NA
__Depression__,623 (10%),354 (8.4%),155 (12%),114 (15%),<0.001
__BMI category__,NA,NA,NA,NA,<0.001
Thin (<18.5),48 (0.7%),24 (0.5%),7 (0.5%),17 (2.1%),NA
Normal (18.5-24.9),"2,193 (34%)","1,587 (36%)",401 (31%),205 (26%),NA
Overweight (25.0-29.9),"2,644 (41%)","1,828 (42%)",515 (39%),301 (38%),NA
Obese (>=30.0),"1,607 (25%)",942 (22%),388 (30%),277 (35%),NA
